pdpn,path,asset_type,flagfix_refs,evidence_pattern,current_behavior,risk_level,recommended_next_action,human_review_status,notes
BD.AA.007,pipeline/13-static-site/pages/BD.AA.007/index.html,large_doctrinal_image,"014,005","<img src=\"../../assets/images/3.-Rebirth-Axiom-of-Buddha-Dhamma.jpg\" width=\"960\" height=\"720\">",Large doctrinal image is rendered inline with a direct Download/Print link preserved in both language blocks,medium,visual_test_and_image_inventory,review_pending,Good control sample for image sizing/centering and text-bearing asset traceability
BD.AA.007,pipeline/13-static-site/pages/BD.AA.007/index.html,youtube_embed_cluster,"015,014","multiple <iframe src=\"https://www.youtube.com/embed/...\"> inside .video-container",Page contains many YouTube embeds and is a strong print-traceability stress case,high,print_marker_audit_and_selector_inventory,review_pending,Primary future test page for embed variant coverage and print marker consistency
TL.JJ.008,pipeline/13-static-site/pages/TL.JJ.008/index.html,text_bearing_image,"005,014","<img src=\"../../assets/images/climbers.png\" width=\"490\" height=\"290\">",Moderate-size image with embedded English labels appears inline near doctrinal discussion and alongside a YouTube embed,high,image_text_inventory_and_visual_test,review_pending,Known text-bearing asset example from Batch 04 planning
KD.JJ.006,pipeline/13-static-site/pages/KD.JJ.006/index.html,image_inside_list,"005,014","<li>...<img src=\"../../assets/images/Vipallasa-Chart-1.png\" width=\"1566\" height=\"276\"></li>",Very wide chart is embedded directly inside a list item rather than a dedicated figure wrapper,high,layout_inventory_and_visual_test,review_pending,Good sample for large diagram behavior and list-context rendering risk
QD.DD.002,pipeline/13-static-site/pages/QD.DD.002/index.html,figure_inside_list_with_video_link,"005,014,015","list item contains Feynman-Glass-Plate image and a plain youtu.be reference later on page",Diagram-like image appears inside a list item and related video context is preserved only as a normal link rather than embed markup,medium,asset_context_inventory,review_pending,Useful split case for image evidence plus non-iframe video traceability
PS.GG.004,pipeline/13-static-site/pages/PS.GG.004/index.html,image_inside_heading,"005,014","<h5><img src=\"../../assets/images/7.-Saṅkhara-–-An-Introduction.jpg\" ...></h5>",Image is wrapped directly inside an h5 heading which is structurally unusual for a doctrinal visual asset,high,markup_and_asset_inventory,review_pending,Strong candidate for future visual/semantic review without authorizing any patch
CH.BB.006,pipeline/13-static-site/pages/CH.BB.006/index.html,flowchart_or_diagram,"005,014","<img src=\"../../assets/images/B3.-Contamination-of-Mind-from-Kama-Dhatu-Stage.jpg\" ...>",Large diagram asset appears as a normal image block with no translated transcript or caption layer,medium,text_bearing_asset_inventory,review_pending,Good representative sample for doctrinal diagram preservation
KD.JJ.010,pipeline/13-static-site/pages/KD.JJ.010/index.html,diagram_with_adjacent_encoding_risk,"005,014","<img src=\"../../assets/images/9.-Namarupa-–-An-Introduction.jpg\" ...> plus title text showing mojibake-like sequences",Page combines a doctrinal image with nearby title/pathway text that already shows encoding-risk symptoms,high,cross_surface_visual_review,review_pending,Useful page for future coordinated review of image context and surrounding title rendering
KD.FF.021,pipeline/13-static-site/pages/KD.FF.021/index.html,audio_with_media_evidence_cross_reference,"010,022","<audio ...><source src=\"https://puredhamma.net/wp-content/uploads/...mp3\"> plus [LEGACY_MEDIA_DOWNLOAD] blocks",Multiple audio players resolve against external PureDhamma URLs and each is paired with axis-media-evidence download blocks,medium,audio_placeholder_inventory_only,review_pending,Reference-only row for Batch 04 audio handling; 022 hardening remains in its own roadmap
TL.EE.003,pipeline/13-static-site/pages/TL.EE.003/index.html,audio_and_download_evidence_mismatch,"010,022","<audio ... puredhamma mp3> plus [LEGACY_MEDIA_DOWNLOAD] Google Drive evidence block",Audio playback source and preserved evidence URL diverge which is useful for future placeholder and traceability review,high,audio_traceability_audit,review_pending,Reference-only row showing why 010 and 022 should stay coordinated but separately scoped
TL.JJ.008,pipeline/13-static-site/pages/TL.JJ.008/index.html,youtube_embed_variant,"015","<iframe src=\"https://www.youtube.com/embed/YpCnmgwqQAE?si=...\">",Standard YouTube embed exists with query-string variant that should be covered by print-traceability selectors,medium,print_marker_audit_and_visual_test,review_pending,Useful smaller companion case to BD.AA.007 for embed detection
