pdpn,page_path,flagfix_scope,evidence_type,term_or_quote,observed_form,expected_review_concern,css_class_or_marker,has_audio_signal,diacritic_status,notes,decision
TL.EE.008,pipeline/13-static-site/pages/TL.EE.008/index.html,002,glossary_color_term,kamma patha,"<span class=""pali-term term-highlight"" data-term=""kamma patha"">kamma patha</span>",Glossary-only visual treatment should remain distinct from audio-enabled terms,pali-term term-highlight,no_manifest_signal,ascii_or_plain_source_form,Body term is highlighted in glossary style and currently has no matching pronunciation-manifest entry,review_pending
TL.EE.008,pipeline/13-static-site/pages/TL.EE.008/index.html,002,runtime_audio_candidate,cetanā,"data-term=""cetanā"" inside .pali-term.term-highlight",Audio/runtime distinction should remain visible and traceable in screen and print,pali-term term-highlight,runtime_manifest_available,preserved_diacritics,Manifest contains cetanā so JS can add .has-audio at runtime,review_pending
TL.EE.008,pipeline/13-static-site/pages/TL.EE.008/index.html,004,pali_quote_preserved,"cetanāhaṁ, bhikkhave, kammaṁ vadāmi.","Inline quoted Pāli sentence preserved in body text with surrounding doctrinal explanation",Quoted Pāli should not be translated or structurally flattened during future automation,inline quote plus pali-term markers,not_applicable,preserved_diacritics,Representative preserved quote from the Nibbedhika Sutta discussion,review_pending
DS.DD.006,pipeline/13-static-site/pages/DS.DD.006/index.html,003,body_term_preserved,Paṭicca Samuppāda,"<span class=""pali-term term-highlight"" data-term=""paṭicca samuppāda"">Paṭicca Samuppāda</span>",Protected compound and diacritics should remain stable across contexts,pali-term term-highlight,no_manifest_signal,preserved_diacritics,Good preserved-form sample for compound orthography review,review_pending
TL.CC.003,pipeline/13-static-site/pages/TL.CC.003/index.html,003,body_term_simplified,ārammana,"<span class=""pali-term term-highlight"" data-term=""ārammana"">ārammana</span>",Potential orthographic drift or simplified form needs human review before normalization,pali-term term-highlight,no_manifest_signal,simplified_or_mixed_form,English side uses a simplified form that does not match the pronunciation-manifest key ārammaṇa,review_pending
TL.CC.003,pipeline/13-static-site/pages/TL.CC.003/index.html,003,body_term_preserved,Ārammaṇa,"<span class=""pali-term term-highlight"" data-term=""ārammaṇa"">Ārammaṇa</span>",Preserved diacritic form should remain traceable and comparable against simplified variants,pali-term term-highlight,runtime_manifest_available,preserved_diacritics,Portuguese side shows the diacritic-preserved counterpart of the same concept,review_pending
TL.BB.005,pipeline/13-static-site/pages/TL.BB.005/index.html,009,title_term_simplified,Miccha Ditthi,"<title>Miccha Ditthi Simpler Analysis</title> / <h1 class=""title-en"">Miccha Ditthi Simpler Analysis</h1>",Protected doctrinal title term lost diacritics and should remain under human review,title-en,no_manifest_signal,simplified_or_lost_diacritics,Current explicit Batch 03 title-risk sample that also overlaps with Batch 02 title workflow,review_pending
TL.BB.005,pipeline/13-static-site/pages/TL.BB.005/index.html,009,body_term_preserved,micchā diṭṭhi,"<span class=""pali-term term-highlight"" data-term=""micchā diṭṭhi"">micchā diṭṭhi</span>",Body-preserved doctrinal term diverges from simplified title form and should not be normalized mechanically,pali-term term-highlight,no_manifest_signal,preserved_diacritics,Useful paired sample against the simplified EN title on the same page,review_pending
TL.EE.008,pipeline/13-static-site/pages/TL.EE.008/index.html,003,body_term_preserved,Nibbāna,"<span class=""pali-term term-highlight"" data-term=""nibbāna"">Nibbāna</span>",Diacritic-preserved doctrinal term should remain source-bound even when nearby explanatory variants appear,pali-term term-highlight,runtime_manifest_available,preserved_diacritics,Same paragraph also contains the explanatory variant nivana which makes this a good orthography review sample,review_pending
TL.EE.008,pipeline/13-static-site/pages/TL.EE.008/index.html,004,quote_context_sensitive,"Nibbāna or “nivana”","Nibbāna highlighted followed by explanatory variant “nivana” in prose",Boundary between protected term and explanatory gloss should remain explicit under future automation,mixed prose plus pali-term marker,runtime_manifest_available,mixed_preserved_and_simplified_forms,Not a pure quote but a useful quote-adjacent risk sample for source-bound terminology handling,review_pending
